ID,Area,Total_Bulls,Total_Cows,Total_Calves,Total_Unknown,Total_Moose,Density,DensityThreshold_1=low_2=med_3=high,Calf_Cow_Ratio,Male_Ratio,Year
Ln_152,4.21,4,1,0,1,6,1.43,1,0,0.513,2019
Ln_153,3.831,0,2,1,0,3,0.78,1,0.5,1,2019
Ln_154,4.05,2,2,0,0,4,0.99,1,0,0.669,2019
Ln_164,3.952,2,4,2,2,10,2.53,2,0.5,0.664,2019
Ln_165,4.099,1,5,2,0,8,1.95,1,0.4,0.804,2019
Ln_168,4.698,0,2,2,0,4,0.85,1,1,1,2019
Ln_175,4.239,1,0,0,0,1,0.24,1,NA,0.809,2019
Ls_8,4.001,0,2,0,3,5,1.25,1,0,1,2021
Ln_86,4.173,1,1,0,0,2,0.48,1,0,0.807,2021
Ln_87,4.049,0,0,0,0,0,0,1,NA,NA,2021
Ln_90,4.054,1,4,2,0,7,1.73,1,0.5,0.802,2021
Ln_93,4.049,2,5,3,3,13,3.21,2,0.6,0.669,2021
Ln_97,4.007,1,3,1,0,5,1.25,1,0.333333333,0.8,2021
Ln_103,4.109,11,20,3,1,35,8.52,3,0.15,0.272,2021
Ln_104,3.866,0,6,2,0,8,2.07,2,0.333333333,1,2021
Ln_105,3.785,1,8,2,0,11,2.91,2,0.25,0.791,2021
Ln_108,4.2,1,5,3,0,9,2.14,2,0.6,0.808,2021
Ln_109,4.214,3,5,4,2,14,3.32,2,0.8,0.584,2021
Ln_110,4.145,2,6,1,0,9,2.17,2,0.166666667,0.675,2021
Ln_111,4.081,2,10,3,0,15,3.68,2,0.3,0.671,2021
Ln_130,3.987,4,6,1,2,13,3.26,2,0.166666667,0.499,2021
Ln_139,4.052,2,3,2,0,7,1.73,1,0.666666667,0.67,2021
Ln_142,4.084,0,3,1,0,4,0.98,1,0.333333333,1,2021
Ln_146,3.825,4,5,0,0,9,2.35,2,0,0.489,2021
Ln_152,4.21,9,3,1,0,13,3.09,2,0.333333333,0.319,2021
Ln_153,3.831,3,0,0,0,3,0.78,1,NA,0.561,2021
Ln_154,4.05,4,5,0,0,9,2.22,2,0,0.503,2021
Ln_164,3.952,3,0,0,0,3,0.76,1,NA,0.568,2021
Ln_165,4.099,2,4,3,0,9,2.2,2,0.75,0.672,2021
Ln_168,4.698,2,3,3,0,8,1.7,1,1,0.701,2021
Ln_175,4.239,0,2,2,0,4,0.94,1,1,1,2021
