"","site_name","line","collar","Lflux_dry","Qflux_dry","disturbance","park_id","latitude","longitude","altitude","rel_chmbrT","rel_VWC","rel_RH","rel_soilT","rel_lux","rel_airT","avg_orgdepth","coverage","geometry","density"
"1","BlueHill_c",1,"1",4.063735,4.405765,"exclosure","TNNP",-53.9681356587018,48.6001562839829,107.293165264651,-0.0145402286537901,-0.611111111111111,-0.00958466453674124,-0.0340909090909092,-0.434447300771208,-0.0268456375838926,NA,"exclosure",c(NA, NA),NA
"2","BlueHill_c",1,"2",4.108235,4.69942,"exclosure","TNNP",-53.9681408542645,48.6001097622505,111.099453306756,0.00113087454429529,-0.611111111111111,-0.00958466453674124,0.0227272727272726,-0.22879177377892,0.00671140939597313,NA,"exclosure",c(NA, NA),NA
"3","BlueHill_c",1,"3",7.016375,7.158995,"exclosure","TNNP",-53.9681632165021,48.6000006391479,109.024825727567,-0.00138546589625947,0.555555555555556,0.00638977635782745,0.0227272727272726,-0.383033419023136,0.00671140939597313,NA,"exclosure",c(NA, NA),NA
"4","BlueHill_c",1,"4",6.0122,6.6336,"exclosure","TNNP",-53.9681772329415,48.5999603150868,105.434217511676,-0.00553391171266108,0.111111111111111,0.0223642172523961,-0.090909090909091,-0.910025706940874,0.00671140939597313,NA,"exclosure",c(NA, NA),NA
"5","BlueHill_c",1,"5",4.032,4.454675,"exclosure","TNNP",-53.9682181127237,48.599833802276,105.962178155779,0.0203287317184153,0.555555555555556,-0.00958466453674124,0.0795454545454545,1.95629820051414,0.00671140939597313,NA,"exclosure",c(NA, NA),NA
"6","BlueHill_e",1,"1",5.7248,6.45129,"exclosure","TNNP",-53.9690891840066,48.5995970434033,96.1788216214627,-0.000136348726861703,-0.154929577464789,-0.00862068965517233,-0.117647058823529,-0.380165289256198,0.0507246376811594,9.16666666666667,"exclosure",c(NA, NA),NA
"7","BlueHill_e",1,"2",4.343695,5.01556,"exclosure","TNNP",-53.9689814765508,48.5996143520331,100.64561843872,0.00227230128695624,0.408450704225352,0.0344827586206897,-0.117647058823529,0.735537190082645,-0.0942028985507247,4.83333333333333,"exclosure",c(NA, NA),NA
"8","BlueHill_e",1,"3",4.955095,6.31303,"exclosure","TNNP",-53.9688693948332,48.5996220073498,98.8551410585641,-0.027551528303826,-0.366197183098592,0.00574712643678169,0.176470588235294,-0.607438016528926,-0.0217391304347827,8.83333333333333,"exclosure",c(NA, NA),NA
"9","BlueHill_e",1,"4",4.007955,4.38082,"exclosure","TNNP",-53.9687979128714,48.5996493045696,98.2253304095938,0.00515020125165267,-0.788732394366197,0.0201149425287357,0.0588235294117647,0.239669421487603,0.0144927536231884,7,"exclosure",c(NA, NA),NA
"10","BlueHill_e",1,"5",7.183695,8.18475,"exclosure","TNNP",-53.9686451107766,48.5996664455616,98.8719978909939,0.0202653744920785,0.901408450704225,-0.0517241379310344,0,0.012396694214876,0.0507246376811594,11.6666666666667,"exclosure",c(NA, NA),NA
"11","Ochre",1,"1",4.23802,4.94209,"exclosure","TNNP",-53.956561327885,48.5096189264421,190.944281510077,0.0346300467942528,0.86046511627907,-0.0240641711229946,0.186440677966102,-0.485981308411215,0.0317460317460318,12.1666666666667,"exclosure",c(NA, NA),NA
"12","Ochre",1,"2",4.776125,6.32698,"exclosure","TNNP",-53.9566213873552,48.5095866096584,192.197469131089,-0.0069107305819734,-0.302325581395349,-0.0240641711229946,0.186440677966102,-0.813084112149533,-0.00793650793650791,5.33333333333333,"exclosure",c(NA, NA),NA
"13","Ochre",1,"3",6.08607,6.948845,"exclosure","TNNP",-53.9567689516834,48.5095938830107,187.691297016106,-0.0144911795050305,-0.651162790697674,-0.0374331550802139,0.35593220338983,-0.299065420560748,-0.00793650793650791,6.16666666666667,"exclosure",c(NA, NA),NA
"14","Ochre",1,"4",6.636225,6.9085,"exclosure","TNNP",-53.9569044951852,48.5096132476337,186.609973967075,-0.00821939463285594,0.511627906976744,0.0695187165775401,-1,0.401869158878505,-0.00793650793650791,7.58333333333333,"exclosure",c(NA, NA),NA
"15","Ochre",1,"5",7.489945,7.783625,"exclosure","TNNP",-53.9570228476579,48.5096106492437,185.484912929125,-0.005008742074393,-0.418604651162791,0.0160427807486631,0.271186440677966,1.19626168224299,-0.00793650793650791,5.5,"exclosure",c(NA, NA),NA
"16","Rocky Harbour",1,"1",2.4882,2.4882,"control","GMNP",-57.9372744033664,49.6037951318336,70.6272896612063,0.00270327685356473,0.6,NA,-0.0883977900552486,-0.742126882701963,-0.00735294117647056,NA,"closed",c(-57.937045780212, 49.6035394282669),0
"17","Rocky Harbour",1,"2",3.657835,3.79673,"control","GMNP",-57.9370736796948,49.603860480757,69.6884546279907,0.000868039183510061,0.733333333333333,NA,-0.00552486187845302,1.28206298493838,-0.00735294117647056,NA,"closed",c(-57.937045780212, 49.6035394282669),0
"18","Rocky Harbour",1,"3",2.387435,2.49981,"control","GMNP",-57.9367996752801,49.604082978377,62.9732447275891,-0.0121621482738772,-0.633333333333333,NA,-0.00552486187845302,-0.486535828388864,-0.0625,NA,"closed",c(-57.937045780212, 49.6035394282669),0
"19","Rocky Harbour",1,"4",3.047535,3.1447,"control","GMNP",-57.936661792973,49.6041722875553,62.4142847685143,-0.00528706561759582,0,NA,-0.00552486187845302,-0.908717480602465,-0.0625,NA,"closed",c(-57.937045780212, 49.6035394282669),0
